"rand_index","index","translation","reference_translation","accuracy"
270,410,"Um dieses Hindernis zu überwinden, muss der Hintergrund, vor welchem die Pilotaktionen eingeführt werd","Unterschiede in den verfügbaren Datensätzen der EU-Länder führten zudem zu lückenhaften und oftmals inkompatiblen Konsumentensegmentierungen zwischen den Mitgliedsstaaten.",""
271,509,"Einer der speziell dargelegten Punkte vom EC ist die Wichtigkeit von den Erfahrungen und Anwenungen, die in verschiedenen Mitgliedstaaten (MS) angewendet werden, zu lernen.","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
272,168,"Ein zweiter Mechanismus könnte daher darin bestehen, dass die Information, die im HER dargebotn wird, die umweltbezogene Identität der Konsumenten beeinflusst.","Ein zweiter Mechanismus könnte also sein, dass die im HER enthaltenen Informationen die ökologische Selbstidentität der Konsumentinnen und Konsumenten stärken.",""
273,30,"Der Einfluss sozialer Informationen auf das Verhalten wurde bereits in verschiedenen Settings gezeigt.","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
274,318,"Die europäische Komission (EK) beschäftigt sich intensiv damit, dieses Problem zu lösen. Die neuliche Lancierung des E","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
275,205,"Der Einfluss sozialer Informationen auf das Verhalten wurde in einer Bandbreite von Situationen demonstriert","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
276,485,"Das Hauptproblem bei der Umsetzung der Analy","Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.",""
277,344,"Diese ""Advisors"" wurden  speziell ausgebildet, um diese  Pilotaktionen einzuführen. Unter diesen Aktionen gehen z.B. das Bilden von Energiekonsumenten, um deren Konsum zu optimieer","Diese HEAs werden eigens dazu ausgebildet, die Pilotmassnahmen umzusetzen und somit gefährdeten Haushalten zu zeigen, wie sie vorwiegend durch Verhaltensänderungen ihren Energieverbrauch optimieren und unter Umständen reduzieren können.",""
278,296,"Diese Studie sammelt die ersten Resultate der oben erwähnten Aufgaben.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
279,195,"Trotz einem wachsenden Interesse in sozialen Vergleich bleiben viel","Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.",""
280,194,"Zum Beispiel, zeigt die Recherche, dass den Menschen zu sagen wie sich ihre Reaktion mit anderen vergleichen, ähnliche Menschen ermutigt ihre Enegie und Wasserkonsumation, ihr Beitrag zum guten Zweck und ihre Spar Entscheidungen anzupassen.","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
281,336,"Die European Commission (EC) hat grosse Anstrengungen unternommen, dieses Problem zu lösen. Dies zeigt sich beispielsweise bei der kürzlich lancierten Initiative Eu Energy Poverty Observatory, die im Januar 2018 gestartet ist.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
282,225,"Der HER b","Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.",""
283,41,"Ein weiteres Ziel dieses Papers ist es, mögliche Mechanismen einzustufen, um HER effektiver zu machen.","Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.",""
284,365,"Energiearmut ist eines der grössten sozialen, technischen uns legislativen Probleme im heutigen Europa, mit einer geschätzten Anzahl Betroffener zwischen  50 und 125 Millionen.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
285,259,"Zuerst testen wir ob HER die Wahrnehmung von Normen eines Individuums im Feld der Energie... beeinflusst.","Zuerst wird getestet, ob der HER beeinflusst, wie Einzelpersonen Normen im Bereich des Energiesparens wahrnehmen.",""
286,59,"Die Forschung zeigt zum Beispiel, dass der Vergleich des Handelns und Tuns de","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
287,32,"Trotz wachsendem Interesse an Forschung im Bereich sozialer Vergleich gibt es noch einige Fragen zu klären.","Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.",""
288,143,"Als Erstes testen wir, ob HER die Wahrnehmung von Normen im Bereich des Energiesparens eines Individuums beeinflusst.","Zuerst wird getestet, ob der HER beeinflusst, wie Einzelpersonen Normen im Bereich des Energiesparens wahrnehmen.",""
289,187,"Während Umweltwerte dazu tendiere, im Leben der Leute stabil zu bleiben, kann umweltbezogene Selbst-Identität beeinflusst werden, zum Beispiel von Information ","Während ökologische Werte ein Leben lang mehr oder weniger unverändert bleiben, kann ökologische Selbstidentität beispielweise durch Informationen zu Energiesparmassnahmen beeinflusst werden.",""
290,424,"Die grösste Hürde bei dieser Analyse besteht darin, dass die Daten, welche für Standardindikatoren (z. B. Tiefes-Einkommen hohe-Kosten) verwendet werden, in vielen Ländern nicht verfügbar sind. Das heisst, es müssen andere Wege ausgelotet werden, um nachvollziehen zu können, was ein ""energiegefährdeter Verbraucher"" ist. ","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
291,366,"Die Europäische Kommission (EK) hat viel Mühe darauf verwendet, dieses Problem zu lösen, was sich beispielsweise durch die Lancierung des EU Energy Poverty Observatory im Januar  2018 zeigt.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
292,88,"Zweitens, während ökologische Werte im Leben aller stabil bleiben, kann die ökologische Selbstidentität beeinflusst werden, beispielsweise durch Information in Bezug auf das Energiesparen.","Während ökologische Werte ein Leben lang mehr oder weniger unverändert bleiben, kann ökologische Selbstidentität beispielweise durch Informationen zu Energiesparmassnahmen beeinflusst werden.",""
293,104,"HER liefert verschiedene Aspekte, angefangen bei einem statischen Vergleich zwischen Nachbarn zum Energieverbrauch (descriptive Norm), über Rückmeldungen darüber, wie gut ein Einzelner mitarbeitet (injunktive Norm), bis hin zu Energiespartipps.","Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.",""
294,17,"Eine weitere Frage, welche sich gestellt hat, ist was die Beweggründe des individuellen handelns als Reaktion auf die von Opower's HER hat. ","Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. ",""
295,311,"Energiearmut ist mit geschätzten 50 bis 125 Millionen Betroffenen aktuell eines der sozialen, technischen und legislativen Hauptprobleme in Europa.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
296,45,"Eine weitere Forschungslücke stellt das Verständnis der Mechanismen hinter der Reaktion von Personen auf den Opower Home Energy Report (HER) im Bereich Energienutzung dar.","Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. ",""
297,316,"Einer der von EC genannten Punkte ist die Wichtigkeit, von den Erfahrungen und Best Pracices in verschiedenen Mitgliedstaaten (MS) zu lernen.","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
298,348,"In Hinblick darauf versucht das Projekt (gegründet durch die EU Comm","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.",""
299,494,"Solche Berater sind speziell trainiert, um die Pilot Massnahmen zu implementieren, indem sie Energie gefährdete Konsumenten (VCs) darin instruieren, ihren Energieverbrauch zu optimieren ( und möglicherweise zu reduzieren), indem sie ihre Verhaltensweisen anpassen.","Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).",""
300,448,"Energiearmut ist eines der sozialen, technischen und legislativen Problemen in Europa in dieser Zeit, mit einer geschätzten Anzahl von betroffenen Menschen zwischen 50 bis 125 Millionen.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
301,135,"Der HER umfasst verschiedene Elemente, von einem statischen Vergleich mit Nachbarn im Hinblick auf den Energieverbrauch (deskriptive Norm) bis hin zu Rückmeldungen, wie gut Einzelne abschneiden (injunktive Norm), und Tipps zum Energiesparen.","Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.",""
302,125,"Der HER liefert verschiedene Elemente, von einem statischen Vergleich im Bereich Energieverbrauch (deskritpive Norm) über Informationen dazu, wie gut einzelne Personen sind (injunktive Norm) bis zu Energiespartips.","Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.",""
303,196,"Der Einfluss von sozialien Information auf das Benehmen wurde in verschiedenen Situationen gezeigt.","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
304,292,"Die European Commission (EC) hat durch die Lancierung des EU Energy Poverty Observatory in Januar 2018 gezeigt, wie viel Effort momentan in die Lösung dieses Problems investiert wird.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
305,156,"Der Einfluss sozialer Informationen auf das Verhalten wurde in verschiedenen Situationen gezeigt.","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
306,493,"Das grösste Hindernis beim Durchführen dieser Analyse ist, dass die Daten, welche häufig als Standardindikatoren verwendet werden ( bspw. Tiefes-Einkommen, Hohe-Kosten), in vielen Ländern fehlen. Dadruch müssen neue Wege zur Bestimmung eines ""energie-verletzlichen-Ko","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
307,519,"Der erste Teil des Artikels fa","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
308,9,"So zeigt die Studie zum Beispiel, dass, wenn Menschen ihr Verhalten mit dem Anderer vergleichen, ähnliche Menschen dazu ermutigt werden, ihr Energie- und Wasserverbrauch, ihre Mithilfe an gemeinnützigen Projekten und ihr Sparverhalten zu ändern.","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
309,145,"Während umweltbezogene Werte in der Regel während des ganzen Lebens stabil bleiben, kann die umweltbezogene Selbstidentität beeinflusst werden, zum Beispiel durch Informationen in Bezug auf das Energiesparen.","Während ökologische Werte ein Leben lang mehr oder weniger unverändert bleiben, kann ökologische Selbstidentität beispielweise durch Informationen zu Energiesparmassnahmen beeinflusst werden.",""
310,517,"In diesem Projekt ist das Energy Consumption Forschungsinstitut verantwortlich für das technische Training der HEAs und für die Planung der Pilotaktionen.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
311,106,"Zunächst testen wir, ob durch HER die Wahrnehmung des Einzelnen","Zuerst wird getestet, ob der HER beeinflusst, wie Einzelpersonen Normen im Bereich des Energiesparens wahrnehmen.",""
312,114,"Ein zweiter Mechanismus könnte deshalb sein, dass die Informationen, die der HER liefert, die Selbstidentität bezüglich Umwelt  bei den Konsumenten beeinflusst.","Ein zweiter Mechanismus könnte also sein, dass die im HER enthaltenen Informationen die ökologische Selbstidentität der Konsumentinnen und Konsumenten stärken.",""
313,42,"Wir testen zunächst, ob HER die individuelle Wahrnehmung von Normen im Bereich des Energiesparens beeinflusst-","Zuerst wird getestet, ob der HER beeinflusst, wie Einzelpersonen Normen im Bereich des Energiesparens wahrnehmen.",""
314,38,"Während umwelt","Während ökologische Werte ein Leben lang mehr oder weniger unverändert bleiben, kann ökologische Selbstidentität beispielweise durch Informationen zu Energiesparmassnahmen beeinflusst werden.",""
315,26,"Ein zweites Ziel der Arbeit ist das Testen möglicher Mechanismen, die zur Wirkung von HER beitragen.","Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.",""
316,325,"Der erste Teil des Papers fasst die Ergebnisse einer statistischen Analyse zusammen, die ""energiearme"" oder ""energiegefährdete"" Konsumenten definieren sollte, da eine gemeinsame europäische Definition nicht existiert.","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
317,86,"Zuerst wird getestet, ob der HER die Wahrnehmung der Norm durch die Einzelpersonen im Berich Energiesparen formt.","Zuerst wird getestet, ob der HER beeinflusst, wie Einzelpersonen Normen im Bereich des Energiesparens wahrnehmen.",""
318,79,"Zweitens bleiben umweltbezogene Einstellungen während des Lebens mehrheitlich stabil, während umweltbezogene Selbstidentität beeinflusst werden kann, beispielsweise durch Informationen über den Energieverbrauch.","Während ökologische Werte ein Leben lang mehr oder weniger unverändert bleiben, kann ökologische Selbstidentität beispielweise durch Informationen zu Energiesparmassnahmen beeinflusst werden.",""
319,257,"Während das Bewahru","Während das Umweltschutzverhalten von Menschen mit ausgeprägten biosphärischen Werten in der Literatur gut dokumentiert ist, weiss man relativ wenig darüber, wie Konsumentinnen und Konsumenten auf Peer-Vergleiche reagieren.",""
320,441,"Desweiteren ist es so, dass die Erhältlichkeit der verschiedenen Daten von Eu Ländern oft fragmentiert und nicht vergleichbar aufgeteilt ist in den verschiedenen Mi","Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.",""
321,154,"Eine weitere entscheidende Forschungslücke ist das fehlendeVerständnis der Mechanimen hinter der Reaktion einzelner zum Opower Home Energy Report (HER) im Bereich Energieverbrauch.","Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. ",""
322,20,"Der Einfluss sozialer Information auf das Verhalten wurde in einer Reihe von settings demonstriert.","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
323,396,"Um dieses Problem zu lösen, ist es nötig, einen Hintergrund zu definieren, gegen den die Pilotmassnahmen umgeset","Um dieses Problem zu lösen, musste der Kontext definiert werden, in dem die Pilotmassnahmen implementiert werden sollen (die Situation in den analysierten EU-Mitgliedsstaaten). Auch musste eine zielgerichtete Marktsegmentierung durchgeführt werden, mittels einer Analyse und Ergänzung von verfügbaren Datenbeständen, welche ähnliche und kompatible Indikatoren aufweisen.",""
324,255,"Insbesondere, weiss man relative wenig über den Ursprung der Heterogenität in Bezug auf den Effekt eines wohlbekannten Experimentes mit sozialen Vergleichen, wie es im Opower Programm zur Verfügung gestellt wird.","Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.",""
325,214,"Zum Beispiel, Forschungen zeigen dass das vergleichen von Handlungen mit denen Anderer, ähnliche Menschen ermutigt ihren Energie- und Wasserverbrauch an zu passen, ihre Beteiligung an gutnützige Ziele, und sparr Entscheidungen anzupassen.","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
326,242,"Zunächst, testen wir ob das HER die Wahrnehmung der Normen des Einzelnen beeinflusst im Bereicht der Energiekonservation.","Zuerst wird getestet, ob der HER beeinflusst, wie Einzelpersonen Normen im Bereich des Energiesparens wahrnehmen.",""
327,351,"Ein Punkt, den die EK besonders hervorgehoben hat, ist die Bedeutung, die dem Lernen aus Erfahrung und aus den Best Practices aus den verschiedenen Mitgliedstaaten (MS) beigemesse","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
328,459,"Die Europäische Kommission hat eine grosse Menge Arbeit in die Lösung dieses Problems gesteckt, wie gezeigt, zum Beispiel durch die kürzliche Veranstaltung des Eu EnergyPoverty Obsevatory im Janur 2018","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
329,216,"Spezifisch, relativ wenig ist bekannt über die Herkunft der Heterogenität des beobachteten Effekts von classic social comparison experiments, wie dem Opowers Home Electricity Report program.","Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.",""
330,343,"Dies wird durch die Implementierung einer Reihe von Pilotprojekten mit einer Gruppe von sogenannten HEAs (Home Energy Advisors) bewerkstelligt.","Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).",""
331,416,"Diese Berater:innen wurden speziell geschult, um die Pilotaktionen zu implementieren, was die Schulung vulnerabler Konsument:innen beinhaltet, z.B. in der Optimierung und allenfalls Reduktion ihres Energieverbrauchs, und zwar vornhemlich durch Verhaltensänderungen.","Diese HEAs werden eigens dazu ausgebildet, die Pilotmassnahmen umzusetzen und somit gefährdeten Haushalten zu zeigen, wie sie vorwiegend durch Verhaltensänderungen ihren Energieverbrauch optimieren und unter Umständen reduzieren können.",""
332,245,"Zum Beispiel deutet die Forschung darauf hin, dass Menschen, welchen gesagt wird, wie ihr Vehalten sich unterscheidet von demjenigen von anderen, ähnlichen Personen, bezüglich Energie Konsum, Wasserverbrauch, ihren Beiträgen für gemeinnützige Oganisationen und bezüglich ihren Sparmassnahmen, motiviert werden, ihr Verhalten diesbezüglich zu verändern.","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
333,69,"Der HER beinhaltet vier wichtige Elem","Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.",""
334,415,"Es macht dies, inden es eine Serie von Pilottätigkeiten mit einer Gruppe von Heas (Home Energy Advisors) implementiert. Pilotaktionen oben","Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).",""
335,466,"Die Europäische Kommission hat viel Energie in die Problemlösung gesteckt, wie das Beispiel des neulich lancierten EU Energy Poverty Observatory im Januar 2018, zeigt.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
336,503,"Es macht dies","Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).",""
337,148,"HER beinhaltet verschiedene Elemente, inklusive einem statischen Nachbarsvergleich von Energieverbauchsleveln (eine deskriptive Norm), Feedback auf individuelle Handhabung (eine injunktive Norm), sowie Energiespartipps.","Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.",""
338,409,"Zudem führen die verschiedenen in der EU verfügbaren Daten zu einer bruchstückhaften und oft ""nicht kompatiblen"" Segmentierung in einigen Mitgliedsstaaten.","Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.",""
339,313,"Eines der zentralen Punkte für die EC war die Wichtigkeit","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
340,512,"Die EC hat viel Aufwand betrieben, um dieses Problem zu lösen, was sich beispielsweise durch die Gründung der EU Energy Poverty Observatory im Januar 2018m gezeigt hat.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
341,248,"Trotz wachsendem Interesse an der Forschunt zu sozialem Vergleich, gibt es weiterhin einige offene Fragen.","Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.",""
342,452,"Die Europäische Kommission (EC) hat sich schon sehr stark bemüht, dieses Problem zu lösen. So wie z.B. bei der kürzlichen Einführung des Eu Energy Poverty Ovservatory im Januar 2018.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
343,234,"In unserem Bericht spekulieren wir, dass umweltfreundliche Werte eine wichtige Quelle für Heterogenität im Effekt von den Opower Gruppenvergleich repräsen","In unserer Studie stellen wir die Hypothese auf, dass die ökologischen Werte der Konsumentinnen und Konsumenten eine wichtige Ursache für die heterogenen Effekte sind, die bei den Teilnehmenden der Vergleichsstudie von Opower festgestellt wurden.",""
344,506,"Einer der Aspekte, welche von der EK betont werden, ist die Wichtigkeit, von der Erfahrung und von den in den Mitgliedsta","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
345,126,"Ein zweites Ziel dieses Artikels ist  es, mögliche Mechanismen zu testen, die den HER wirksam machen.","Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.",""
346,55,"Es ist besonders wenig bekannt über die Ursprünge von Heterogenität imzuge eines bekannten Experiments zu sozialem Vergleich, wie etwa das von Dem  Opower-Programm durch den Home Exlectricity Report bereitgestellte.","Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.",""
347,209,"In unserem Bericht spekulieren wir, dass Werte, die das Umweltbewusstsein betres","In unserer Studie stellen wir die Hypothese auf, dass die ökologischen Werte der Konsumentinnen und Konsumenten eine wichtige Ursache für die heterogenen Effekte sind, die bei den Teilnehmenden der Vergleichsstudie von Opower festgestellt wurden.",""
348,338,"Vor diesem Hintergru","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.",""
349,437,"Vor diesem Hintergrund ","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.",""
350,33,"Insbesondere über die Ursachen der Heterogenität im Kontext  e","Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.",""
351,339,"Energiearmut ist zurzeit in Europa eine der grössten sozialen, technischen und gesetzlichen Herausforderungen. Davon sind schätzungsweise etwa  50 bis 125 Millionen Menschen betroffen.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
352,371,"Im ersten Teil des Dokuments werden die Ergebnisse einer statistischen Analyse vorgestellt, die zum Ziel hatte, ""energiearme"" bzw. ""energiegefährdete"" Verbraucher zu definieren, da eine einheitliche Definition in Europa nicht existiert.","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
353,345,"Energiearmut stellt eines der grössten sozialen, technischen und gesetzlichen Herausforderungen in der aktuellen Zeit in Europa dar. Die Anzahl betroffene Personen wird auf 50 bis 125 Millionen geschätzt.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
354,120,"Der Einfluss sozialer Informationen auf das Verhalten wurde in einer Vielzahl von Settings aufgezeigt.","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
