control_number;id;group;text;condition;sentence_nr;translation;reference_translation
144;CJ4;TraPro;Text2;ELF;7;Das Energy Consumption Research Institute ist in diesem Projekt verantwortlich für die technische Ausbildung der HEAs und die Planung der Pilotaufgaben.;Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.
145;CJ4;TraPro;Text2;ELF;8;Dieses Paper sammelt die ersten Resultate der oben genannten Aufgaben.;In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. 
146;CJ4;TraPro;Text2;ELF;9;"Der erste Teil des Papers fasst die Resultat einer statistischen Analyse zusammen, die durchgeführt wurde, um den Begriff ""energy poor"" oder ""energy vulnerable"" Konsument richtig zu deuten, da eine einheitliche europäische Definition nicht existiert.";Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.
147;CJ4;TraPro;Text2;ELF;10;"Die grösste Herausforderung bei der Durchführung diese Analyse bestand darin, dass Daten oft für Standardangaben (z.B. Tiefes Einkommen Hohe Kosten) nicht in allen Ländern vorhanden sind. So mussten neue Wege gefunden werden, um """;Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.
148;CJ5;TraPro;Text2;SE;6;Es macht dies, inden es eine Serie von Pilottätigkeiten mit einer Gruppe von Heas (Home Energy Advisors) implementiert. Pilotaktionen oben;Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).
149;CJ5;TraPro;Text2;SE;7;Diese Berater:innen wurden speziell geschult, um die Pilotaktionen zu implementieren, was die Schulung vulnerabler Konsument:innen beinhaltet, z.B. in der Optimierung und allenfalls Reduktion ihres Energieverbrauchs, und zwar vornhemlich durch Verhaltensänderungen.;Diese HEAs werden eigens dazu ausgebildet, die Pilotmassnahmen umzusetzen und somit gefährdeten Haushalten zu zeigen, wie sie vorwiegend durch Verhaltensänderungen ihren Energieverbrauch optimieren und unter Umständen reduzieren können.
150;CJ5;TraPro;Text2;SE;8;In diesem Projekt zeichnet das ECRI verantwortlich für die technische Schulung der HE;Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.
151;CJ6;TraPro;Text2;SE;2;Energiearmut gehört zu den wichtigsten gesellscahftlichen, technischen und gesetzlichen Problemen aktuell in Europa, mit geschätzten 50 bis 125 Millionen Menschen, die betroffen sind.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
152;CJ6;TraPro;Text2;SE;3;Die Europische Kommission (EC) bemht sich umfassend um die Lösung desProblems, wie die  jüngste Einfhrung des EU Energy Poverty Observatory im Januar 2018 zeigt.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
153;CJ6;TraPro;Text2;SE;4;Einer der wichtigen Aspekte, den die Ec betont, ist das Lernen aus Erfahrung und von bewährten Vorgehensweisen, die in vielen Mitgliedstaaten (MS) durchgefhrt werden.;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
154;CJ6;TraPro;Text2;SE;5;Vor diesem Hintergrund möchte das hier vor;Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.
155;CJ7;TraPro;Text2;ELF;8;Diese Studie fasst die ersten Ergebnisse zu den zuvor erwähnten Aufgaben zusammen.;In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. 
156;CJ7;TraPro;Text2;ELF;9;"Der erste Teil der Studie fasst die Ergebnisse einer statistischen Analyse zusammen, welche durchgeführt wurde, um nachvollziehen zu können, wie ""energiearm"" und ""energiegefährdet"" zu definieren sind, da eine gemeinsame europäische Definition fehlt.";Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.
157;CJ7;TraPro;Text2;ELF;10;"Die grösste Hürde bei dieser Analyse besteht darin, dass die Daten, welche für Standardindikatoren (z. B. Tiefes-Einkommen hohe-Kosten) verwendet werden, in vielen Ländern nicht verfügbar sind. Das heisst, es müssen andere Wege ausgelotet werden, um nachvollziehen zu können, was ein ""energiegefährdeter Verbraucher"" ist. ";Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.
158;CJ7;TraPro;Text2;ELF;11;Des Weiteren führt die unterschiedliche Datenlage in den EU-Ländern oftmals zu einer fragment;Unterschiede in den verfügbaren Datensätzen der EU-Länder führten zudem zu lückenhaften und oftmals inkompatiblen Konsumentensegmentierungen zwischen den Mitgliedsstaaten.
159;CJ8;TraPro;Text2;ELF;5;In diesem Sinne  zielt das (von der EU-Kommission unter dem Grant Agreement n. ) gegründete Projekt, dessen Partner das Energy Consumptiom Research Institut  ist, darauf ab,;Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren. Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).
160;CJ9;TraPro;Text2;ELF;2;Energiearmut ist gegenwärtig eines der grössten sozialen, technischen und legislativen Problemen Europas mit  50 bis 125 Millionen betroffenen.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
161;CJ9;TraPro;Text2;ELF;3;Die Europäische Kommission (EC) hat viel darin investiert, dieses Problem zu lösen. Dies zeigt zum Beispiel die kürzliche Lancierung der Beobachtungsinstitutions EU Energy Poverty Observatory im Januar 2018.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
162;CJ9;TraPro;Text2;ELF;4;Einen der Punkte, welche das EC hervorhebt, ist, wie wichtig es ist, von Erfahrungen und besten Praktiken der verschiedenen Mitgliedsstaaten (MS) zu lernen.;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
163;CK0;TraPro;Text2;SE;11;Das grösste Hindernis bei der Durchführung dieser Analyse ist, dass die daten, die oft als Standardindikatoren genutzt werden (z. B. niedriges Einkommen hohe Kosten), für viele Länder nicht verfügbar sind. Dadurch müssen neue Wege gefunden werden, um energiegefährdete Nutzer zu definieren.;Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.
164;CK0;TraPro;Text2;SE;12;Darüber hinaus führen die Unterschiede in den Daten, die für EU-Länder zur Verfügung stehen, zu einer fragmentierten und oft inkompatiblen Nutzer-Segmentation in den Mitgliedsstaaten.;Unterschiede in den verfügbaren Datensätzen der EU-Länder führten zudem zu lückenhaften und oftmals inkompatiblen Konsumentensegmentierungen zwischen den Mitgliedsstaaten.
165;CK0;TraPro;Text2;SE;13;Um dieses Hindernis zu überwinden, muss der Hintergrund definiert werden, vor dem die Pilot-Massnahmen eingeführt werden (die Situation in den analy;Um dieses Problem zu lösen, musste der Kontext definiert werden, in dem die Pilotmassnahmen implementiert werden sollen (die Situation in den analysierten EU-Mitgliedsstaaten). Auch musste eine zielgerichtete Marktsegmentierung durchgeführt werden, mittels einer Analyse und Ergänzung von verfügbaren Datenbeständen, welche ähnliche und kompatible Indikatoren aufweisen.
166;CK1;TraPro;Text2;ELF;2;Energiearmut ist eines der grössten sozialen, technischen und gesetzgeberischen Probleme in Europa derzeit, mit einer geschätzten Anzahl Betroffener von 50 bis 125 Millionen Menschen.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
167;CK1;TraPro;Text2;ELF;3;Die Europäische Kommission (EK) hat sich sehr bemüht, dieses Problem zu lösen, was beispielsweise durch die kürzliche Lancierung des EU Energy Poverty Obersvatory im Januar 2018 offensichtlich wird.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
168;CK1;TraPro;Text2;ELF;4;Einer, der von der EK hervorgehobenen Punkte, ist die Bedeutung, aus Erfahrungen zu lernen und bewährte Praktiken aus verschiedenen Mitgliedsstaaten (MS).;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
169;CK1;TraPro;Text2;ELF;5;Vor diesem Hintergund zielt das Projekt (;Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren. Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).
170;CK2;TraPro;Text2;ELF;2;Energiearmut ist eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme der heutigen Zeit in Europa mit geschätzten 50 bis 125 Millionen Betroffenen.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
171;CK2;TraPro;Text2;ELF;3;Die Europäische Kommission bemüht sich stark, dieses Problem zu lösen, wie zum Beispiel die Kürzliche Gründung des EU Energy Povery Observatory im Januar 2018 gezeigt hat.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
172;CK2;TraPro;Text2;ELF;4;Ein Punkt, der von der Europäischen Kommission hervorgehoben wurde, ist die Bedeutung des Lernens aus Erfahrungen und bewährten Vorgehensweisen aus anderen Mitgliedsstaaten (MS).;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
173;CK2;TraPro;Text2;ELF;5;Vor diesem Hintergrund ;Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren. Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).
174;CM0;Mul;Text2;ELF;8;Diese Arbeit sammelt die ersten Resultate von den oben genannten Aufgaben. ;In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. 
175;CM0;Mul;Text2;ELF;9;"Der erste Teil der Arbeit fasst die Resultate zusammen, die mit einer statistischen Analyse durchegührt worden sind, um zu verstehen, wie man ""energiearme"" oder ""energieverletzliche"" Konsumenten definieren kann, da eine allgemeine Definition noch nicht existiert. ";Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.
176;CM0;Mul;Text2;ELF;10;"Die grösste Hürde im Durchführen dieser Analyse ist, dass die Daten, welche für Standardindikatoren (wie tiefes Einkommen und hohe Kosten) gebraucht werden, nicht erhältlich sind für einige Länder, weswegen neue Wege für das Verstehen, was ein ""energieverletzlicher Konsument"" ist, erkundet werden müssen. ";Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.
177;CM0;Mul;Text2;ELF;11;Desweiteren ist es so, dass die Erhältlichkeit der verschiedenen Daten von Eu Ländern oft fragmentiert und nicht vergleichbar aufgeteilt ist in den verschiedenen Mi;Unterschiede in den verfügbaren Datensätzen der EU-Länder führten zudem zu lückenhaften und oftmals inkompatiblen Konsumentensegmentierungen zwischen den Mitgliedsstaaten.
178;CM1;Mul;Text2;ELF;2;Energiearmut is eines der hauptsächlichen sozialen, technischen und legislativen Problemen der Gegenwart in Europe, mit einer Schätzung von betroffenen Personen von 50 bis 125 Millionen.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
179;CM1;Mul;Text2;ELF;3;Die Europäische Kommission (EK) hat viel Aufwand betrieben, um dieses Problem zu lösen, wie zum Beispiel mit dem kürzlichen Startschuss der Eu Energy Poverty Observatory im Januar 2018 gezeigt wurde.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
180;CM1;Mul;Text2;ELF;4;Einer der Punkte, die vom EC betont wurden ist die Wichtigkeit, von den Erfahrungen und besten Praktiken zu lernen, die in den verschiedenen Mitgliedstaaten (MS) ausgeführt werden.;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
181;CM1;Mul;Text2;ELF;5;Dies im Hinterkopf, versucht das Projekt (von der EU Komission unter Grant Agreement .12345 gefördert), von welchem Energy Conmsuption Research ein Partner ist, die besten Prakiken und Empfehl;Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren. Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).
182;CM2;Mul;Text2;SE;4;Einer der Punkte der von der EC hervorgehoben wurde ist die Wichtigkeit des Lernens durch Erfahrung und von den besten Sachen die ausgeführt werden in verschiedenen Mitgliedsstaaten (MS).;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
183;CM2;Mul;Text2;SE;5;"Mit dem im Kopf, das Projekt das hier dargestellz wird  (geföhrdert durch die EU Kommission unter dem Grant Agreement no. 12345); von dem Das Energy Consumtion Research Institute ein Partner is, ziehlt darauf die besten Verhalten und ";Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.
184;CM3;Mul;Text2;SE;2;Energiearmut ist eines der sozialen, technischen und legislativen Problemen in Europa in dieser Zeit, mit einer geschätzten Anzahl von betroffenen Menschen zwischen 50 bis 125 Millionen.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
185;CM3;Mul;Text2;SE;3;Die Europäische Kommission (EC) hat viel Aufwand in die Lösung dieses Problems gesteckt, wie beispielsweise mit dem kürzlichen Beginn des EU Energy ;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
186;CM4;Mul;Text2;ELF;5;Mit diesem Gedanken, das Projekt (gesponsert von der EU Kommission unter dem Einverständnis n. 12345) von dem das Energy Consumption Research Institute ein Partner ist, versucht die besten Praktiken und Empfehlungen um Energie Armut anzusprechen von ;Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren. Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).
187;CM5;Mul;Text2;ELF;2;Energiearmut ist eine der sozialen, technischen und rechtlichen Hauptprobleme im heutigen Europa mit einer geschätzten Zahl von betroffenen von 50 bis 125 Millionen Menschen.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
188;CM5;Mul;Text2;ELF;3;Die Europäische Kommission (EC) hat sich schon sehr stark bemüht, dieses Problem zu lösen. So wie z.B. bei der kürzlichen Einführung des Eu Energy Poverty Ovservatory im Januar 2018.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
189;CM5;Mul;Text2;ELF;4;Einer der meist betonten Punkte der EC ist die Wichtigkeit aus Erfahrungen und den besten Umsetzungsmethoden der verschiedenen Mitg;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
190;CM6;Mul;Text2;SE;2;Energiearmut ist eines der grössten sozialen, technischen und legislativen Problemen der heutigen Zeit in Europa, mit einer schätzungsweisen Zahl an betroffenen Menschen die sich zwischen  und  Millionen bewegt.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
191;CM6;Mul;Text2;SE;3;Die europäische Kommisionb hat viel Arbeit in die Lösungsfindung dieses Problems investiert, wie beispielsweise am vor kurzer Zeit gegründeten EU Energy Poverty Observatory im Januar  ersichtlich ist.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
192;CM6;Mul;Text2;SE;4;Eine der Punkte, welchen die EC hervorbringt, ist, von Erfahrungen zu lernen und von den besten Praktiken, die in den verschiedenen Mitgliedsstaaten praktiziert werden.;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
193;CM6;Mul;Text2;SE;5;"Mit diesem Gedanken beibehalten; das Projekt hier (welches von der EU  Kommission unter dem ";Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.
194;CM7;Mul;Text2;SE;2;Energiearmut ist eine der Grössten sozialen, technischen und gesetzlichen Probleme im heutigen Europa, mit einer geschätzten Anzahl von Betroffenen, die im Bereich von 50-125 Millionen liegt.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
195;CM7;Mul;Text2;SE;3;Die Europäische Kommission hat eine grosse Menge Arbeit in die Lösung dieses Problems gesteckt, wie gezeigt, zum Beispiel durch die kürzliche Veranstaltung des Eu EnergyPoverty Obsevatory im Janur 2018;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
196;CM7;Mul;Text2;SE;4;Einer der Punkte, die die EC betont, ist die Rolle des Lernens durch Erfahrung und durch die besten Praktiken, die in den teilnehmenden Staaten durchgeführt werden;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
197;CM7;Mul;Text2;SE;5;Auf dieser Grundlage zielt das hier berichtete Projekt (gegründet con der EU Kommission durch das Gran Agreement Nr.12345), ;Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.
198;CM8;Mul;Text2;SE;2;Energie Armut ist eins der grössten sozialen, technischen und legalen Problemen in Europa in der heutigen Zeit, mit geschätzten 50 zu 125 Millionen Menschen die davon betroffen sind.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
199;CM8;Mul;Text2;SE;3;Die Europäische Kommission (EC) hat viel Aufwand investiert zum dieses Problem zu läsen, wie man zum Beispiel  am neusten Projet EU Energy Poverty Observatory sehen kann, welches Januar 2018 startete.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
200;CM8;Mul;Text2;SE;4;Ein wichtiger Punkt, der von der ECbetont wird, ist wie wichtig es ist von Erfahrungen zu lernen und von den besten Lösungsansätzen in verschiedenen Mitgliederstaaten(MS) zu  profitieren;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
201;CM9;Mul;Text2;ELF;2;Energie Armut ist eine der grössten sozialen, technischen und legislativen Probleme des gegenwertigen Europas, mit einer geschätzten Nummer von 50 bis 125 Millionen betroffenen Personen.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
202;CM9;Mul;Text2;ELF;3;Die Europäische Kommission hat viel Energie in die Problemlösung gesteckt, wie das Beispiel des neulich lancierten EU Energy Poverty Observatory im Januar 2018, zeigt.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
203;CM9;Mul;Text2;ELF;4;Einer der vom EC hervorgehebenen Punkte ist die Bedeutung von den Erfahrungen und den besten Gewohnheiten, der Mitgliedsstaaten, zu lernen.;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
204;CM9;Mul;Text2;ELF;5;Das Projekt (von der EU Kommission ;Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren. Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).
205;CN0;Mul;Text2;ELF;2;Energiearmut ist eine der sozialen, technischen und leglislativen Hauptprobleme im aktuellen Europa, da die geschätzte Zahl von betroffenen Menschen zwischen 50 und 125 Millionen liegt.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
206;CN0;Mul;Text2;ELF;3;Die europäische Kommission (EC) hat viel Aufwand betrieben um dieses Problem zu lösen. Zum Beispiel, wie gezeigt, durch den kürzlichen Launch von der EU Energy Poverty Observatory im Januar 2018.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
207;CN0;Mul;Text2;ELF;4;Einer der Punkte, welche von der EC hervorgehoben wurde, ist die Wichtigkeit von Erfahrung und den besten Praktiken in verschiedenen Mitgliedsstaaten (MS) zu lernen.;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
208;CN0;Mul;Text2;ELF;5;Dies beachtend, ist das Ziel vom Projekt (finanziert von der EU Kommission unter dem Grant Agreement n. 12345), mit dem Energy Consumption Research Institute als Partner, ;Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren. Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).
209;CN1;Mul;Text2;ELF;6;Solche Berater sind spezifisch dazu ausgebildet, die Pilotaktionen umzusetzen, indem sie Energiegefährdete Konsumenten (VCs) darin bilden, ihren Energieverbrauch zu optimieren (und möglicherweise zu reduzieren), hauptsächlich duch Veränderungen ihres Verhaltens.;Diese HEAs werden eigens dazu ausgebildet, die Pilotmassnahmen umzusetzen und somit gefährdeten Haushalten zu zeigen, wie sie vorwiegend durch Verhaltensänderungen ihren Energieverbrauch optimieren und unter Umständen reduzieren können.
210;CN1;Mul;Text2;ELF;7;Im Projekt ist das Energy Consumption Research Institute für die technische Ausbildung der HEAs und die Planung der Pilotaktionen zuständig.;Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.
211;CN1;Mul;Text2;ELF;8;Diese Arbeit sammelt die ersten Resultate der oben genannten Aufgaben.;In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. 
212;CN1;Mul;Text2;ELF;9;"Der erste Teil der Arbeit fasst die Resultate einer für das Verständnis der Definition eines ""energiearmen"" oder """;Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.
