control_number;id;group;text;condition;sentence_nr;translation;reference_translation
171;CK1;TraPro;Text1;SE;11;Ein weiteres Ziel dieser Studie ist, mögliche Mechanismen zu untersuchen, die HER effizenter gestalten.;Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.
172;CK1;TraPro;Text1;SE;12;Zuerst untersuchen wir, ob HER die Wahrnehmung der Auffassung der Normen im Bereich des Energeverbrauchs bei den Testpersonen beeinflusst.;Zuerst wird getestet, ob der HER beeinflusst, wie Einzelpersonen Normen im Bereich des Energiesparens wahrnehmen.
173;CK1;TraPro;Text1;SE;13;Eine stärkere Auffassung der Norm, Energie zu sparen, kann den Energieverbrauch beeinflussen.;Eine stärkere Wahrnehmung der Norm, Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.
174;CK1;TraPro;Text1;SE;14;Während Werteeinstellungen einer Person meist ein Leben lang gleich bleiben, kann das umweltbezogene Verhalten beeinflusst werden, beispielsweise durch Informationen über das Energiesparen.;Während ökologische Werte ein Leben lang mehr oder weniger unverändert bleiben, kann ökologische Selbstidentität beispielweise durch Informationen zu Energiesparmassnahmen beeinflusst werden.
175;CK2;TraPro;Text1;SE;2;Der Einfluss sozialer Informationen auf das Verhalten wurde in unterschiedlichen Situationen aufgezeigt.;Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.
176;CK2;TraPro;Text1;SE;3;So hat die Forschung gezeigt, dass Menschen, deren Verhalten jenem vergleichbarer Personen gegenübergestellt wird, diese ermutigt, ihren Energie- und Wasserverbrauch zu reduzieren und ihren Beitrag zu wohltätigen Zwecken sowie Entscheide zu Einsparungen zu verändern.;Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.
177;CK2;TraPro;Text1;SE;4;Trotz eines grossen Interesses an vergleichender Sozialfors;Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.
178;CM0;Mul;Text1;SE;2;Der Einfluss von sozialen Information auf Verhaltensweisen wurde in verschiedenen Szenarien gezeigt. ;Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.
179;CM0;Mul;Text1;SE;3;Zum Beispiel, vergangene Befunde zeigen, dass, wenn man Leuten erzählt wie ihre Tätigkeiten mit denjenigen von anderen verglichen werden, es sie ermutigt, ihren Energie- und Wasserverbauch, ihre Beiträge zu gemeinnützigen Organisationen und ihre Sparverhalten zu verändern. ;Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.
180;CM0;Mul;Text1;SE;4;Trotz einem wachesendem Interesse an sozialen Vergleichsarbeiten, bleiben viele Fragen offen. ;Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.
181;CM0;Mul;Text1;SE;5;"Insbesondere ist nur wenig bekannt über die Quellen der Heterogenität, welche die Effekte klassischer sozialer Vergleichsexperimente beobachtet, so zum Beispiel das Opower'""s Home Electricity Report (HER) Programm. ";Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.
182;CM0;Mul;Text1;SE;6;In dieser Arbeit werden wir die Hypothese aufstellen, dass eine wichtig;In unserer Studie stellen wir die Hypothese auf, dass die ökologischen Werte der Konsumentinnen und Konsumenten eine wichtige Ursache für die heterogenen Effekte sind, die bei den Teilnehmenden der Vergleichsstudie von Opower festgestellt wurden.
183;CM1;Mul;Text1;SE;10;Das HER enthält verschiedene Elemente, einschliesslich eine statische Nachbarn-Vergleich von Energieverbrauch - Levels (eine deskriptive Norm), Rückmeldung zu individueller Leistung (eine injunktive Norm) sowie Energiespartipps.;Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.
184;CM1;Mul;Text1;SE;11;Ein weiteres Ziel dieses Artikels ist es, die möglichen Mechanismen einzuschätzen, die den HER effektiver machen.;Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.
185;CM1;Mul;Text1;SE;12;Zuerst testen wir ob der HER die Empfindung der Individuen von Normen in dem Raum der Energiesparens beeinflusst.;Zuerst wird getestet, ob der HER beeinflusst, wie Einzelpersonen Normen im Bereich des Energiesparens wahrnehmen.
186;CM1;Mul;Text1;SE;13;Eine stärkere Empfindung der Norm, energie zu sparen, könnte da die Energiekonsum beeinflussen.;Eine stärkere Wahrnehmung der Norm, Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.
187;CM1;Mul;Text1;SE;14;Während Umweltwerte dazu tendiere, im Leben der Leute stabil zu bleiben, kann umweltbezogene Selbst-Identität beeinflusst werden, zum Beispiel von Information ;Während ökologische Werte ein Leben lang mehr oder weniger unverändert bleiben, kann ökologische Selbstidentität beispielweise durch Informationen zu Energiesparmassnahmen beeinflusst werden.
188;CM2;Mul;Text1;ELF;2;Der Einfluss von sozialer Infromation auf Verhaten wurde in verschiedenen Umfeldern demonstriert.;Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.
189;CM2;Mul;Text1;ELF;3;Forschung zeigt, dass wenn man Leuten erzählt wie ihre Aktionen verglichen mit denen von anderen ähnlichen Leuten sind, es dazu führt das sie ihren Energie und Wasser Verbrauch, ihre Kontributionen zu ;Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.
190;CM3;Mul;Text1;ELF;7;Während das Konservierungsverhalten von Menschen mit hohen biosphärischen Werten vielfach in der Literatur erforscht wurde, weiss man nur wenig über die Reaktionen dieser Individuen auf Peer-Vergleiche.;Während das Umweltschutzverhalten von Menschen mit ausgeprägten biosphärischen Werten in der Literatur gut dokumentiert ist, weiss man relativ wenig darüber, wie Konsumentinnen und Konsumenten auf Peer-Vergleiche reagieren.
191;CM3;Mul;Text1;ELF;8;In dieser Arbeit testen wir den Effekt des sozialen Vergleichs der Energiekonservierung und ob dies mit der Höhe des Umweltbewusstseins zusammenhängt.;In dieser Studie testen wir, ob sozialer Vergleich einen Einfluss auf das Energiesparverhalten hat und ob dieser Einfluss von der individuellen Ausprägung der ökologischen Werte abhängt.
192;CM3;Mul;Text1;ELF;9;Eine weit;Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. 
193;CM4;Mul;Text1;SE;2;Der Einfluss von sozialer Information auf das Verhalten hat sich in verschiedenen Umgebungen gzeigt.;Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.
194;CM4;Mul;Text1;SE;3;Zum Beispiel, zeigt die Recherche, dass den Menschen zu sagen wie sich ihre Reaktion mit anderen vergleichen, ähnliche Menschen ermutigt ihre Enegie und Wasserkonsumation, ihr Beitrag zum guten Zweck und ihre Spar Entscheidungen anzupassen.;Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.
195;CM4;Mul;Text1;SE;4;Trotz einem wachsenden Interesse in sozialen Vergleich bleiben viel;Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.
196;CM5;Mul;Text1;SE;2;Der Einfluss von sozialien Information auf das Benehmen wurde in verschiedenen Situationen gezeigt.;Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.
197;CM5;Mul;Text1;SE;3;Zum Beispiel zeigt die Forschung, dass es Menschen dazu motiviert, ihren Energie- und Wasserverbrauch, ihren Beitrag für gemeinützige Fälle und ihre Entscheidungen, Energie zu sparen, anzupassen, wenn man sie mit den Akionen anderer, ihnen ähnliche Menschen, vergleict.;Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.
198;CM5;Mul;Text1;SE;4;Trotz wachsendem I;Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.
199;CM6;Mul;Text1;ELF;11;Ein zweiter Ansatz dieses Berichts ist, mögliche Mechanismen zu testen, die den HEr effektiv machen.;Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.
200;CM6;Mul;Text1;ELF;12;Zuerst testen wir, ob der HER die Vorstellungen der Individuen der Norm formt im Angesicht des Themas des Energieverbrauchs.;Zuerst wird getestet, ob der HER beeinflusst, wie Einzelpersonen Normen im Bereich des Energiesparens wahrnehmen.
201;CM6;Mul;Text1;ELF;13;Eine stärkere Wahrnehmung der Norm in die Richtung der Energieeinsparung könnte dann den Energieverbrauch beeinflussen.;Eine stärkere Wahrnehmung der Norm, Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.
202;CM6;Mul;Text1;ELF;14;"Zweitens, während das Umweltbewusstsein in jedermann'""s Leben gleichbleibend zu sein scheint, kann die eigene Umweltidentität beeinflusst werden, zum Beispiel durch Informationen bezüglich der Energiesparung.";Während ökologische Werte ein Leben lang mehr oder weniger unverändert bleiben, kann ökologische Selbstidentität beispielweise durch Informationen zu Energiesparmassnahmen beeinflusst werden.
203;CM6;Mul;Text1;ELF;15;Ein zweiter Mechanismus könnte daher  sein, dass die Informationen, die mit dem HER übermitteltwerden, jemandes eigene Umweltidentitt vergrössern kann.;Ein zweiter Mechanismus könnte also sein, dass die im HER enthaltenen Informationen die ökologische Selbstidentität der Konsumentinnen und Konsumenten stärken.
204;CM6;Mul;Text1;ELF;16;Der HER stärkt den Fokus der Menschen darauf, der Umwelt;Durch die Aktivierung von biosphärischen Werten stärkt der HER den Fokus der Konsumentinnen und Konsumenten, zum Umweltschutz beizutragen.
205;CM7;Mul;Text1;ELF;2;Der Einfluss sozialer Informationen auf das Verhalten wurde in einer Bandbreite von Situationen demonstriert;Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.
206;CM7;Mul;Text1;ELF;3;Die Forschung zeigt, dass das Erzählen, wie die Handlungen einiger Personen zu anderen zu vergleichen sind, bringt diese Personen dazu, die Energie und den Wasserverbrauch, ihren Beitrag zu Wohlfahrtsorganisationen und ihr Einsparen zu verändern;Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.
207;CM7;Mul;Text1;ELF;4;Trotz des wachsenden Interesse in die Forschung an Sozialem Vergleich bleiben einige offene Fragen;Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.
208;CM7;Mul;Text1;ELF;5;Im Besonderen ist relativ wenig bekannt über die Gründe der Heterogenität des Effektes eines bekannten Experiments sozialen Vergleichs, wie das, welches von Opower program durch die Home Electrity Report bereitgestellt wurde;Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.
209;CM7;Mul;Text1;ELF;6;In unserem Bericht spekulieren wir, dass Werte, die das Umweltbewusstsein betres;In unserer Studie stellen wir die Hypothese auf, dass die ökologischen Werte der Konsumentinnen und Konsumenten eine wichtige Ursache für die heterogenen Effekte sind, die bei den Teilnehmenden der Vergleichsstudie von Opower festgestellt wurden.
210;CM8;Mul;Text1;ELF;10;Der HER liefert verschiedene Elemente, von einer vergleichenden Statischen energy Verbrauchs (deskriptive Norm), über Rückmeldungen wie gut der Einzelne abschneidet (injuktive Norm), bis zu wie man einfach Energie sparen kann.;Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.
211;CM8;Mul;Text1;ELF;11;Das zweite Ziel des Papers ist es mögliche Mechanismen den HER effectiver zu machen zu testen.;Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.
212;CM8;Mul;Text1;ELF;12;Als ersten testen wir ob der HER einen Einfluss auf ;Zuerst wird getestet, ob der HER beeinflusst, wie Einzelpersonen Normen im Bereich des Energiesparens wahrnehmen.
213;CM9;Mul;Text1;SE;2;Der Einfluss von sozialen Informationen auf das Verhalten wurde in zahlreichen Umgebungen gezeigt.;Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.
214;CM9;Mul;Text1;SE;3;Zum Beispiel, Forschungen zeigen dass das vergleichen von Handlungen mit denen Anderer, ähnliche Menschen ermutigt ihren Energie- und Wasserverbrauch an zu passen, ihre Beteiligung an gutnützige Ziele, und sparr Entscheidungen anzupassen.;Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.
215;CM9;Mul;Text1;SE;4;Trotz eines wachsendem Interesse and sozialer Vergleichs Forschung bleiben mehrere Fragen unbeantwortet.;Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.
216;CM9;Mul;Text1;SE;5;Spezifisch, relativ wenig ist bekannt über die Herkunft der Heterogenität des beobachteten Effekts von classic social comparison experiments, wie dem Opowers Home Electricity Report program.;Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.
217;CM9;Mul;Text1;SE;6;In unserem Forschungsbericht, hypothesieren wir d;In unserer Studie stellen wir die Hypothese auf, dass die ökologischen Werte der Konsumentinnen und Konsumenten eine wichtige Ursache für die heterogenen Effekte sind, die bei den Teilnehmenden der Vergleichsstudie von Opower festgestellt wurden.
218;CN0;Mul;Text1;SE;6;In unserem Paper stellen wir die Hypothese, dass eine wichtige Quelle von heterogenen Effekten, welche in der Opower peer comparison beobachtet wurden, die umwelttechnischen Werte von KonsumentInnen sein könnte.;In unserer Studie stellen wir die Hypothese auf, dass die ökologischen Werte der Konsumentinnen und Konsumenten eine wichtige Ursache für die heterogenen Effekte sind, die bei den Teilnehmenden der Vergleichsstudie von Opower festgestellt wurden.
219;CN0;Mul;Text1;SE;7;Obwohl das Konservation-Verhalten von Personen mit hohen biosphärischen Werten gut dokumentiert ist in der Literatur, ist wenig bekannt über die Konsumenten antworten im Vergleich.;Während das Umweltschutzverhalten von Menschen mit ausgeprägten biosphärischen Werten in der Literatur gut dokumentiert ist, weiss man relativ wenig darüber, wie Konsumentinnen und Konsumenten auf Peer-Vergleiche reagieren.
220;CN0;Mul;Text1;SE;8;In diesem Paper testen wir ob es einen Effekt auf den Sozialen Vergleich der Energie Konservatin gibt und ob dieser Effekt vom Ausmass der gelebten hohen ökologischen Werte der Individuen abhängig ist.;In dieser Studie testen wir, ob sozialer Vergleich einen Einfluss auf das Energiesparverhalten hat und ob dieser Einfluss von der individuellen Ausprägung der ökologischen Werte abhängt.
221;CN0;Mul;Text1;SE;9;Ein weiterer wichtiger Gap in der Wis;Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. 
222;CN1;Mul;Text1;SE;7;Während das Sparverhalten von Leuten mit hohen biosphärischen Werten in der Literatur gut erfasst worden ist, ist wenig über die Reaktion dieser Konsumenten auf sozialen Vergleich bekannt.;Während das Umweltschutzverhalten von Menschen mit ausgeprägten biosphärischen Werten in der Literatur gut dokumentiert ist, weiss man relativ wenig darüber, wie Konsumentinnen und Konsumenten auf Peer-Vergleiche reagieren.
223;CN1;Mul;Text1;SE;8;In dieser Arbeit testen wir, ob es einen Effekt von sozialem Vergleich auf den Energieverbrauch gibt, und ob dieser Effekt vom Ausmass, in welchem Individuen ein hohes Umweltbewusstsein fördern, abhängig ist.;In dieser Studie testen wir, ob sozialer Vergleich einen Einfluss auf das Energiesparverhalten hat und ob dieser Einfluss von der individuellen Ausprägung der ökologischen Werte abhängt.
224;CN1;Mul;Text1;SE;9;Eine weitere wichtige Lücke in der Forschung ist das Verständnis der Mechanismen hinter die Reaktionen von Individuen auf Opowers HER im Bezug auf ihren Energieverbrauch.;Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. 
225;CN1;Mul;Text1;SE;10;Der HER b;Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.
226;CN2;Mul;Text1;SE;8;In dieser Arbeit testen wir ob es Auswirkungen gibt aufgrund sozialer Vergleiche zum Thema Energiekonsum und ob diese Auswirkungen davon anhängig sind, inwiefern diese Individuen hohe umweltbezogene Werte haben. ;In dieser Studie testen wir, ob sozialer Vergleich einen Einfluss auf das Energiesparverhalten hat und ob dieser Einfluss von der individuellen Ausprägung der ökologischen Werte abhängt.
227;CN2;Mul;Text1;SE;9;Eine andere, wichtige Lücke in der Forschung is das verstehen von Mechanismen welche hinter den Reaktionen zu Opower's HER stehen, im Zusammenhang mit deren Energieverbrauch.;Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. 
228;CN2;Mul;Text1;SE;10;Das HER beinhaltet verschiedene Elemente, dazu gehören statische Vergleiche mit Nachbarn;Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.
229;CN3;Mul;Text1;SE;2;Der Einfluss der Sozialen Informationen bezüglich des Verhaltens wurde in verschiedenen Orten demonstriert.;Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.
230;CN3;Mul;Text1;SE;3;Zum Beispiel hat die Forschung gezeigt, dass wenn man Menschen sagt, wie sich ihre Aktionen mit denen anderer vergleichen, ähnliche Menschen dadurch ermutigt werden. ihren Strom- und Wasserverbrauch. ihre Beteiligung an Wohltätigkeit und ihre Ersparnisse zu modifizieren-;Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.
231;CN3;Mul;Text1;SE;4;Obwohl ein wachsendes Interesse an Sozialvergleichenden Recherche;Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.
232;CN4;Mul;Text1;ELF;4;Trotz des wachsenden Interesse in sozial vergleichenden Forschungen, bleiben einige Fragen offen.;Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.
233;CN4;Mul;Text1;ELF;5;Besonders wenig weiss man über die Ursprünge der Heterogenität im Effekt von einem gut bekannten sozial vergleichenden Experiment, wie jenes von der Opower program durch den Home Electricity Report zugestellte Experiment.;Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.
234;CN4;Mul;Text1;ELF;6;In unserem Bericht spekulieren wir, dass umweltfreundliche Werte eine wichtige Quelle für Heterogenität im Effekt von den Opower Gruppenvergleich repräsen;In unserer Studie stellen wir die Hypothese auf, dass die ökologischen Werte der Konsumentinnen und Konsumenten eine wichtige Ursache für die heterogenen Effekte sind, die bei den Teilnehmenden der Vergleichsstudie von Opower festgestellt wurden.
235;CN5;Mul;Text1;SE;2;Die Influenz von sozialen Informationen auf das Verhalten wurde in verschiedenen Einstellungen demonstriert.;Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.
236;CN5;Mul;Text1;SE;3;Zum Beispiel indizieren Versuche, dass bei Leuten denen gesagt wird, wie sie sich mit vergleichbaren Menschen schlagen, die Leute ihre Energie und Wasserkonsum, ihre Kontribution zu Spende-Zwecken und Ihre Spar-Entscheidungen verbessernn.;Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.
237;CN5;Mul;Text1;SE;4;Trotz einem wachsendem Interesse in Sozialen Vergleich Versuchen, bleiben aber viele Fragen offen.;Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.
238;CN5;Mul;Text1;SE;5;Speziell ist relativ wenig;Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.
239;CN6;Mul;Text1;SE;9;Eine weitere wichtige Lücke in der Literatur bildet da Verstehen von den Mechanismen der Reaktionen der Individuen auf das HER von Opower in Bezug auf ihre Energieverbrauch.;Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. 
240;CN6;Mul;Text1;SE;10;Das HER beinhaltet verschiedene Elemente, insbesondere einem statischen Nachbar-Energieverbrauch-Systems (eine deskriptive Norm), Rückmeldung der individuellen Leistung (eine injunktive Norm), sowie Energiespartipps.;Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.
241;CN6;Mul;Text1;SE;11;Ein weiteres Anliegen dieser Studie ist es, mögliche Mechanismen zu bestimmen, welche das HER effektiver machen können. ;Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.
242;CN6;Mul;Text1;SE;12;Zunächst, testen wir ob das HER die Wahrnehmung der Normen des Einzelnen beeinflusst im Bereicht der Energiekonservation.;Zuerst wird getestet, ob der HER beeinflusst, wie Einzelpersonen Normen im Bereich des Energiesparens wahrnehmen.
243;CN6;Mul;Text1;SE;13;Eine stärkere Wahrnehmung der Norm Energie zu konservieren könnte dann die En;Eine stärkere Wahrnehmung der Norm, Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.
244;CQ0;Mul;Text1;SE;2;Der Einfluss von sozialen Informationen auf das Verhalten ist in einer Vielzahl von Umgebungen bewiesen worden.;Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.
245;CQ0;Mul;Text1;SE;3;Zum Beispiel deutet die Forschung darauf hin, dass Menschen, welchen gesagt wird, wie ihr Vehalten sich unterscheidet von demjenigen von anderen, ähnlichen Personen, bezüglich Energie Konsum, Wasserverbrauch, ihren Beiträgen für gemeinnützige Oganisationen und bezüglich ihren Sparmassnahmen, motiviert werden, ihr Verhalten diesbezüglich zu verändern.;Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.
246;CU0;Mul;Text1;ELF;2;Der Einfluss von sozialer Information über Verhalten wurde in verschiedensten Settings aufgezeigt.;Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.
247;CU0;Mul;Text1;ELF;3;Die Forschung zeigt, dass das Informieren der Leute, wie ihre Tätigkeiten im Verhältnis zu dem ähnlicher anderer stehen, dazu führt, dass sie ihren Energie- und Wasserverbrauch, ihre Beiträge zu wohltätigen Projekten und ihrer Sparentscheidungen anpassen.;Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.
248;CU0;Mul;Text1;ELF;4;Trotz wachsendem Interesse an der Forschunt zu sozialem Vergleich, gibt es weiterhin einige offene Fragen.;Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.
249;CU0;Mul;Text1;ELF;5;Genauer gesagt, ist relativ wenig über die Quelle der Heterogenität im Resultat eines sehr bekannten Experiments des sozialen Vergleichs, wie zum Beispiel desjenigen vom Opower Programm durch den Home El;Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.
250;CU1;Mul;Text1;ELF;2;Der Einfluss von Information zum sozialen Hintergrund auf das Verhalten von Menschen ist schon in einer Vielzahl von Settings gezeigt worden.;Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.
251;CU1;Mul;Text1;ELF;3;Forschungsergebnisse zeigen, das Leute, denen man erklärt hat, wie ihr Verhalten sich Im Vergleich zu  ähnlichen anderen verhält, dazu neigen, ihren Energie und Wasserverbrauch  zu verringern. Dies gilt auch für ihre Spenden an;Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.
252;CU2;Mul;Text1;ELF;2;Der Einfluss von sozialer Information auf das Verhalten ist in einer Vielzahl von Umgebungen nachgewiesen worden.;Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.
253;CU2;Mul;Text1;ELF;3;Die Forschung zeigt, dass die Menschen ihren Energie- und Wasserverbrauch, ihre Spenden an wohltätige Institutionen und ihr Sparverhalten anpassen, wenn man ihnen sagt, wie ihr Verhalten sich vergleichen lässt mit Menschen in ähnlichen Umständen.;Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.
254;CU2;Mul;Text1;ELF;4;Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben einige offene Fragen.;Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.
