"rand_index","index","translation","fluency"
370,45,"Eine weitere Forschungslücke stellt das Verständnis der Mechanismen hinter der Reaktion von Personen auf den Opower Home Energy Report (HER) im Bereich Energienutzung dar.",""
371,311,"Energiearmut ist mit geschätzten 50 bis 125 Millionen Betroffenen aktuell eines der sozialen, technischen und legislativen Hauptprobleme in Europa.",""
372,177,"Trotz eines grossen Interesses an vergleichender Sozialfors",""
373,399,"Einer der von der EK betonten Punkte ist die Wichtigkeit, von den  Erfahrungen und Best Practices in den verschiedenen Mitgliedsstaaten (MS) zu lernen.",""
374,271,"Die European Commission (EC) investierte viel, um dieses Problem zu lösen.  Dies zeigt zum Beispiel die aktuelle Einführung des EU Energy Poverty Observatory im Januar 2018.",""
375,24,"Eine weitere wichtige Lücke in der Forschung ist das Verstehen der Mechanik hinter den individuellen Reaktionen zu Opowers HER bezüglich der Enrgienutzung.",""
376,76,"Auch wenn das Interesse an der Forschung zu Sozialem Vergleich ansteigt, bleiben noch einige Fragen offen.",""
377,231,"Obwohl ein wachsendes Interesse an Sozialvergleichenden Recherche",""
378,186,"Eine stärkere Empfindung der Norm, energie zu sparen, könnte da die Energiekonsum beeinflussen.",""
379,389,"In diesem Projekt ist das Energy Consumption Research Institute zuständig für die technische Ausbildung der HEAs und die Planung der Pilotaktionen.",""
380,49,"Ein zweites Ziel dieser Studie ist es, mögliche Mechanismen zu testen, die den HER Report effektiv machen.",""
381,460,"Einer der Punkte, die die EC betont, ist die Rolle des Lernens durch Erfahrung und durch die besten Praktiken, die in den teilnehmenden Staaten durchgeführt werden",""
382,210,"Der HER liefert verschiedene Elemente, von einer vergleichenden Statischen energy Verbrauchs (deskriptive Norm), über Rückmeldungen wie gut der Einzelne abschneidet (injuktive Norm), bis zu wie man einfach Energie sparen kann.",""
383,254,"Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben einige offene Fragen.",""
384,248,"Trotz wachsendem Interesse an der Forschunt zu sozialem Vergleich, gibt es weiterhin einige offene Fragen.",""
385,34,"Das HER liefert verschiedene Elemente, von einem statischen Nachbarsvergleich des Energieverbrauchs (beschreibende Norm) über Feedbacks zur individuellen Performance (injunktive Norm) bis hin zu Energiespartipps.",""
386,377,"Das Hauptproblem bei der Analysefindung ist, dass die Daten of lediglich für Standardindikatoren verwendet werden (z.B. tiefes Einkommen hohe Kosten) und dass diese Indikatoren nicht in in vielen Ländern verfügbar sind. Deshalb braucht es neue Ansätze, wie ""energieverletzliche Konsumenten definiert werden können. ",""
387,121,"Die Forschung deutet beispielsweise daruf hin, dass Menschen, wenn man ihre Handlungen mit denen anderer, ähnlicher Menschen vergleicht, zu ermutigt werden, ihren Strom- und Wasserverbauch, ihre Beiträge an wohltätige Zwecke sowie ihre Sparentscheide zu",""
388,105,"Die Arbeit hat ausserdem zum Ziel, mögliche Mechanismen auszutesten, um HER effizient zu machen.",""
389,134,"Im Besonderen ist relativ wenig bekannt über die Ursachen der Heterogenität der Wirkung ",""
390,173,"Eine stärkere Auffassung der Norm, Energie zu sparen, kann den Energieverbrauch beeinflussen.",""
391,7,"Eine weitere wichtige Lücke besteht beim Verständnis der Mechanismen der Reaktionen von einzelnen Individuen in Zusammenhang mit ihrem Energieverbrauch.",""
392,426,"In diesem Sinne  zielt das (von der EU-Kommission unter dem Grant Agreement n. ) gegründete Projekt, dessen Partner das Energy Consumptiom Research Institut  ist, darauf ab,",""
393,300,"Während dem Projekt ist das Energy Consumption Research Institute verantwortlich für das Training der HEAs und der Planung von Pilotaktionen.",""
394,276,"Das grösste Problem ",""
395,365,"Energiearmut ist eines der grössten sozialen, technischen uns legislativen Probleme im heutigen Europa, mit einer geschätzten Anzahl Betroffener zwischen  50 und 125 Millionen.",""
396,22,"Während das konservationsverhalten der Menschen mit hohe biosphährischen Ansprüchen gut dokumentiert ist in der Literatur, ist über diese Rückmeldung der Konsumenten zum Peervergleich wenig bekannt.",""
397,181,"Insbesondere ist nur wenig bekannt über die Quellen der Heterogenität, welche die Effekte klassischer sozialer Vergleichsexperimente beobachtet, so zum Beispiel das Opower'""s Home Electricity Report (HER) Programm. ",""
398,195,"Trotz einem wachsenden Interesse in sozialen Vergleich bleiben viel",""
399,258,"Ein weiteres Ziel dieserArbeit ist es, mögliche Mechanismen auszutesten um das HER noch effektiver zu machen.",""
400,158,"Trotz des steigenen Interesses an der Forschung zu spzialen Vergleichen bleiben noch viele Fragen offen.",""
401,129,"Zweitens kann, während die Umweltwerte bei allen Menschen über ihr Leben eher gleich bleiben, die umweltbezogene Eigenidentität beeinflusst werden, beispielsweise über Informationen bezüglich Energiesparen.",""
402,253,"Die Forschung zeigt, dass die Menschen ihren Energie- und Wasserverbrauch, ihre Spenden an wohltätige Institutionen und ihr Sparverhalten anpassen, wenn man ihnen sagt, wie ihr Verhalten sich vergleichen lässt mit Menschen in ähnlichen Umständen.",""
403,358,"Einer der von der EC ",""
404,496,"Dieser Artikel sammelt die ersten Resultate der oben erwähnten Aufgaben.",""
405,151,"Eine stärkere Wahrnehmung der Norm, um Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.",""
406,385,"In dem Projekt ist das Energy Consumption Research Institute verantwortlich für die Ausbildung der HEAs sowie für die Planung der Pilotversuche.",""
407,196,"Der Einfluss von sozialien Information auf das Benehmen wurde in verschiedenen Situationen gezeigt.",""
408,280,"Energiearmut ist eines der wichtigsten sozialen, technischen und rechtlichen Probleme im heutigen Europa mit einer Zahl von betroffenen Menschen die von 50 bis zu 125 Millionen steigt.",""
409,1,"In verschiedenen Situationen wurde der Einfluss von sozialen Verhaltensinformationen bewiesen.",""
410,381,"Energiearmut ist eines der grössten sozialen, technischen und rechtlichen Probleme zurzeit in Europa, die geschätzte Zahl der Betroffenen liegt zwischen  50 und 125 Millionen.",""
411,467,"Einer der vom EC hervorgehebenen Punkte ist die Bedeutung von den Erfahrungen und den besten Gewohnheiten, der Mitgliedsstaaten, zu lernen.",""
412,157,"Untersuchungen zeigen, dass Menschen ihren Energie- und Wasserverbrauch, ihren Beitrag zu wohltätigen Projekten und ihre Sparmassnahmen ändern, wenn man ihnen sagt, wie sic ihr Verhalten gegenüber anderen vergleicht.",""
413,16,"In dieser Publikation wird erforscht, ob soziale Vergleiche das Energiesparen begünstigen, und ob dies von der Grundeinstellung zum Umweltschutz beeinflusst wird. ",""
414,281,"Die Europeam Commission (EC) hat viel Aufwand für die Bewältigung diese Problems betrieben, wie zum Beispiel die Gründung des EU Energy Poverty Observatory im Januar 2018.",""
415,122,"Der Einfluss der sozialen Informationen über das Verhalten wurde in einer Reihe von Settings gezeigt.",""
416,332,"Energiearmut stellt eine der grössten gesellschaftlichen, technischen und rechtlichen Herausforderungen im gegenwärtigen Europa dar. Gemäss Schätzungen sind rund 50 bis  125 Millionen Menschen in Europa von Energiearmut betroffen.",""
417,261,"Während Umweltwerte während eines Lebens stabil bleiben, kann die umweltbezogene Selbstidentität beeinflusst werden wie beispielsweise durch Informationen bezüglich der Energies",""
418,451,"Energiearmut ist eine der sozialen, technischen und rechtlichen Hauptprobleme im heutigen Europa mit einer geschätzten Zahl von betroffenen von 50 bis 125 Millionen Menschen.",""
419,328,"Der erste Teil der Arbeit fasst die Ergebnisse der  statistischen Analyse, die durchgeführt wurde, um ""energiearm"" und ""energygefährdet"" zu definieren, zusammen, da keine allgemeine, für ganz Europa geltende Definition existiert.",""
420,439,"Der erste Teil der Arbeit fasst die Resultate zusammen, die mit einer statistischen Analyse durchegührt worden sind, um zu verstehen, wie man ""energiearme"" oder ""energieverletzliche"" Konsumenten definieren kann, da eine allgemeine Definition noch nicht existiert. ",""
421,233,"Besonders wenig weiss man über die Ursprünge der Heterogenität im Effekt von einem gut bekannten sozial vergleichenden Experiment, wie jenes von der Opower program durch den Home Electricity Report zugestellte Experiment.",""
422,315,"Die Europäische Kommission (EC) hat viel Effort in die Lösung dieses Problems gesteckt. Sie hat beispielsweise kürzlich die EU Energy Poverty Obervatory im Januar 2018 lanciert.",""
423,304,"The Europäische Kommission setzt viel daran, das Thema anzugehen, wie beispielsweise der kürzlich lancierte EU Energy Poverty Observatory im Januar 2018 zeigt.",""
424,382,"Die Europäische Komission hat in die Lösung dieses Problems viel investiert, was sich z.B. an der kürzlichen Lancierung des EU Energy Poverty Obeservatory im Januar 2018 zeigt.",""
425,394,"Das grösste Hindernis bei der Durchführung dieser Analyse ist, dass die Daten, die oft für Standardindikatioren(z. B. Tiefes Einkommen, hohe  Kosten) in viele Ländern gar nicht verfügbar sind. Deshalb müssen neue Möglichkeiten erforscht werden, um den Begriff des energieempfindichen Verbrauchers zu definieren.",""
426,379,"Um dieses Hinderhins zu überwinden, ist es notwendig, den Hintergrund zu definieren, hinter welchem die Pilotprojekte einbettet werden sollen (die Situation in den analysierten Mitgliedstaaten), und eine zweckdienliche Segmentierung vorzunehmen, indem die vorhandenen Statistikdaten analysiert und ausgewertet werden, welche ähnliche Indikatoren anwenden und kompatible sind mit den vorhandenen Inforationen. ",""
427,221,"Ein weiterer wichtiger Gap in der Wis",""
428,163,"So konnte di Forschung beispielsweise veranschaulichen, dass die Tatsache, dass den Leuten mitgeteilt wird, wie sie im Vegleich zu anderen abschneiden,",""
429,488,"Der Hauptteil bei dieser Analyse ist, dass Daten, die oft fuer standard Indikatoren genommen werden (z.B. tiefes Einkommen, Hohe Kosten) in vielen Ländern nicht erhältlich sind, also müssen neue Wege, wie ein ""energie-verletzlicher Konsument"" zu verstehen ist, untersucht werden.",""
430,183,"Das HER enthält verschiedene Elemente, einschliesslich eine statische Nachbarn-Vergleich von Energieverbrauch - Levels (eine deskriptive Norm), Rückmeldung zu individueller Leistung (eine injunktive Norm) sowie Energiespartipps.",""
431,417,"In diesem Projekt zeichnet das ECRI verantwortlich für die technische Schulung der HE",""
432,511,"Energiearmut ist eines der Hauptprobleme im sozialen, technischen Bereich sowie in der Gesetzgebung Europas heute, wobei die Anzahl Betreoffener auf  50 bis 125 Millionen Personen geschätzt wird.",""
433,104,"HER liefert verschiedene Aspekte, angefangen bei einem statischen Vergleich zwischen Nachbarn zum Energieverbrauch (descriptive Norm), über Rückmeldungen darüber, wie gut ein Einzelner mitarbeitet (injunktive Norm), bis hin zu Energiespartipps.",""
434,310,"Im ersten Teil werden die Ergebnisse einer",""
435,193,"Der Einfluss von sozialer Information auf das Verhalten hat sich in verschiedenen Umgebungen gzeigt.",""
436,125,"Der HER liefert verschiedene Elemente, von einem statischen Vergleich im Bereich Energieverbrauch (deskritpive Norm) über Informationen dazu, wie gut einzelne Personen sind (injunktive Norm) bis zu Energiespartips.",""
437,39,"Eine weitere wichtige Untersuchungslücke ist das Verständnis der Mechanismen hinter den Reaktionen der Individuen zu Opower's HER mit Einbezug ihres Energieverbrauchs.",""
438,473,"Solche Berater sind spezifisch dazu ausgebildet, die Pilotaktionen umzusetzen, indem sie Energiegefährdete Konsumenten (VCs) darin bilden, ihren Energieverbrauch zu optimieren (und möglicherweise zu reduzieren), hauptsächlich duch Veränderungen ihres Verhaltens.",""
439,84,"Die Umfragedaten beinhalten Messungen zu um",""
440,42,"Wir testen zunächst, ob HER die individuelle Wahrnehmung von Normen im Bereich des Energiesparens beeinflusst-",""
441,48,"Der HER Report liefert verschiedene Elemente, von einem statischen Vergleich zwischen dem Energieverbrauch von Nachbarhaushalten (descriptive norm) über Rückmeldungen zur individuellen Performance (injunctive norm) bis hin zu Energiespartipps.",""
442,369,"Bei diesem Projekt trägt das Enery Consuption Research Institute die Verantwortung für die technische Schulung der HEAs und für die Planung der Versuchsprojekte.",""
443,31,"Forschungsergebnisse zeigen, dass Menschen ihren Energie- und Wasserverbrauch ändern, andere Beträge an Wohltätigkeitsorganisationen spenden und andere Entscheidungen im Bereich Sparen treffen, wenn man ihnen sagt, wie sie im Vergleich mit ihren Mitmenschen abschneiden.",""
444,218,"In unserem Paper stellen wir die Hypothese, dass eine wichtige Quelle von heterogenen Effekten, welche in der Opower peer comparison beobachtet wurden, die umwelttechnischen Werte von KonsumentInnen sein könnte.",""
445,416,"Diese Berater:innen wurden speziell geschult, um die Pilotaktionen zu implementieren, was die Schulung vulnerabler Konsument:innen beinhaltet, z.B. in der Optimierung und allenfalls Reduktion ihres Energieverbrauchs, und zwar vornhemlich durch Verhaltensänderungen.",""
446,408,"Ein Haupthindernis bei der Durchführung dieser Analyse ist, dass die Daten, die häufig für Standardindikatoren verwendet werden (zum Beispiel tiefes Einkommen, hohe Kosten) in vielen Ländern nicht verfügbar sind. Es mussten also neue Wege erforscht werden, um zu verstehen, was ein ""energiegefährdeter Verbraucher"" ist.",""
447,490,"Verantwortlich für das technische Training der HEAs and der Pilotactionplanung ist im Projekt das Energy Consumption Research Institut.",""
448,317,"Energiearmut ist eines der Hauptprobleme im sozialen, technischen und legislativen Bereich in Europa zu dieser Zeit. Die Anzahl Menschen, die betroffen sind, wird von 50 bis 125 Millionen geschätzt.",""
449,182,"In dieser Arbeit werden wir die Hypothese aufstellen, dass eine wichtig",""
450,247,"Die Forschung zeigt, dass das Informieren der Leute, wie ihre Tätigkeiten im Verhältnis zu dem ähnlicher anderer stehen, dazu führt, dass sie ihren Energie- und Wasserverbrauch, ihre Beiträge zu wohltätigen Projekten und ihrer Sparentscheidungen anpassen.",""
451,478,"Diese Arbeit sammelt die ersten Resultate der obig erwähnten Aufgabenstellungen. ",""
452,393,"Der erste Teil des Artikels fasst die Ergebnisse einer statistischen Untersuchung zusammen, die durchgeführt wurde, um die Begriffe ""energiearm"" oder ""energieempfindlich"" zu definieren, da es keine übergeordnete europäische Definition dafür gibt.",""
453,56,"In dieser Arbeit gehen wir davon aus, dass umweltbezogene Werte eine wichtige Quelle von Heterogenität infolge des Opower-Gruppenvergleichs darstellt.",""
454,492,"Der erste Teil der Studie fasst die Resultate der statistischen Analyse zusammen, welche durchgeführt wurde, um zu definieren, wer als ""energiearm"" oder ""energieverletzlich"" gilt, da es keine allgemeingültige Definition in Europa dafür gibt.",""
455,354,"Um dieses Hindernis zu umgehen, ist es wichtig, den Hintergrund vor dem die Versuchsaktionen eingesetzt werden werden, zu definieren (die Situation im untersuchten Mitgliedsstaat) und eine gezielte Marktsegmentierung anhand einer Analyse und Verbesserung existierender Datenbanken durchzuführen, so dass ähnliche und vergleichbare Indikatoren angwendet werden können.",""
456,130,"Ein zw",""
457,33,"Insbesondere über die Ursachen der Heterogenität im Kontext  e",""
458,204,"Der HER stärkt den Fokus der Menschen darauf, der Umwelt",""
459,509,"Einer der speziell dargelegten Punkte vom EC ist die Wichtigkeit von den Erfahrungen und Anwenungen, die in verschiedenen Mitgliedstaaten (MS) angewendet werden, zu lernen.",""
460,355,"Der zweite Teil des Papers fasst kurz das den HEAs angebotene Training zusammen, ",""
461,223,"In dieser Arbeit testen wir, ob es einen Effekt von sozialem Vergleich auf den Energieverbrauch gibt, und ob dieser Effekt vom Ausmass, in welchem Individuen ein hohes Umweltbewusstsein fördern, abhängig ist.",""
462,114,"Ein zweiter Mechanismus könnte deshalb sein, dass die Informationen, die der HER liefert, die Selbstidentität bezüglich Umwelt  bei den Konsumenten beeinflusst.",""
463,471,"Einer der Punkte, welche von der EC hervorgehoben wurde, ist die Wichtigkeit von Erfahrung und den besten Praktiken in verschiedenen Mitgliedsstaaten (MS) zu lernen.",""
464,390,"In diesem Paper werden die ersten Ergebnisse dieser zwei Aufgaben präsentiert.",""
465,448,"Energiearmut ist eines der sozialen, technischen und legislativen Problemen in Europa in dieser Zeit, mit einer geschätzten Anzahl von betroffenen Menschen zwischen 50 bis 125 Millionen.",""
466,41,"Ein weiteres Ziel dieses Papers ist es, mögliche Mechanismen einzustufen, um HER effektiver zu machen.",""
467,175,"Der Einfluss sozialer Informationen auf das Verhalten wurde in unterschiedlichen Situationen aufgezeigt.",""
468,337,"Einer der Hauptpunkte, die von der EC hervorgehoben werden, ist, dass man aus Erfahrung und von den besten Anwendungsbeispielen lernen muss, die in den unterschiedlichen Member States (MS) zum Einsatz kommen.",""
469,279,"Die EC setzt dabei auf das Lernen durch Erfahrung und von bereits bewährten Praktiken in verschiedensten Mitgliedsstaaten (MS).",""
470,215,"Trotz eines wachsendem Interesse and sozialer Vergleichs Forschung bleiben mehrere Fragen unbeantwortet.",""
471,92,"Die verfügbaren Energiedaten ",""
472,285,"Einer der vom EK aufgeführten Punkte ist die Wichtigkeit, von Erfahrungen und den besten Praktiken von Mitgliedsstaaten (MS) zu lernen.",""
473,500,"Einer der von der EK hervorgehobenen Punkte ist die Wichtigkeit des Lernens aus Erfahrung und von den besten Praktiken, die in verschiedenen Mitgliedsstaaten (MS) angewandt werden.",""
474,384,"Vor diesem Hintergrund zielt das Projekt (das von der ",""
475,244,"Der Einfluss von sozialen Informationen auf das Verhalten ist in einer Vielzahl von Umgebungen bewiesen worden.",""
476,113,"Werte bezüglich der Umwelt bleiben mehr oder weniger gleich während unseres Lebens, aber die Selbstidentität betreffend Umwelt kann beeinflusst werden, so zum Beispiel durch Informationen über Energieverbrauch.",""
477,432,"Einer, der von der EK hervorgehobenen Punkte, ist die Bedeutung, aus Erfahrungen zu lernen und bewährte Praktiken aus verschiedenen Mitgliedsstaaten (MS).",""
478,58,"Der Einfluss der Erklärung von sozialen Verhaltensweisen wurde unter den verschiedensten Umständen nachgewiesen.",""
479,360,"Hierfür wird gemeinsam mit einer Beratergruppe, den sogenannten HEAs (Home Energy Advisors",""
480,240,"Das HER beinhaltet verschiedene Elemente, insbesondere einem statischen Nachbar-Energieverbrauch-Systems (eine deskriptive Norm), Rückmeldung der individuellen Leistung (eine injunktive Norm), sowie Energiespartipps.",""
481,106,"Zunächst testen wir, ob durch HER die Wahrnehmung des Einzelnen",""
482,64,"In unserer Arbeit stellen wir die Vermutung auf, dass U",""
483,435,"Die Europäische Kommission bemüht sich stark, dieses Problem zu lösen, wie zum Beispiel die Kürzliche Gründung des EU Energy Povery Observatory im Januar 2018 gezeigt hat.",""
484,170,"Die Analyse kombiniert Daten aus einem grossen zufallsgenerierten Programm, das ",""
485,156,"Der Einfluss sozialer Informationen auf das Verhalten wurde in verschiedenen Situationen gezeigt.",""
486,174,"Während Werteeinstellungen einer Person meist ein Leben lang gleich bleiben, kann das umweltbezogene Verhalten beeinflusst werden, beispielsweise durch Informationen über das Energiesparen.",""
487,345,"Energiearmut stellt eines der grössten sozialen, technischen und gesetzlichen Herausforderungen in der aktuellen Zeit in Europa dar. Die Anzahl betroffene Personen wird auf 50 bis 125 Millionen geschätzt.",""
488,37,"Ein genauerer Blick auf die Norm zum Energiesparen könnte den Energieverbrauch beeinflussen.",""
489,517,"In diesem Projekt ist das Energy Consumption Forschungsinstitut verantwortlich für das technische Training der HEAs und für die Planung der Pilotaktionen.",""
490,123,"Forschungsergebnisse zeigen, dass Menschen, wenn man ihnen erzählt, wo ihre Handlungen im Vergleich zu anderen ähnlichen Personen stehen, ihren Energie- und Wasserverbrauch, ihren Beitrag für Wohltätigkeitszwecke und ihre Entscheidungen hinsichtlich Einsparungen ändern.",""
491,519,"Der erste Teil des Artikels fa",""
492,410,"Um dieses Hindernis zu überwinden, muss der Hintergrund, vor welchem die Pilotaktionen eingeführt werd",""
493,396,"Um dieses Problem zu lösen, ist es nötig, einen Hintergrund zu definieren, gegen den die Pilotmassnahmen umgeset",""
494,411,"Das Energy Consumption Research Institute ist in diesem Projekt verantwortlich für die technische Ausbildung der HEAs und die Planung der Pilotaufgaben.",""
495,259,"Zuerst testen wir ob HER die Wahrnehmung von Normen eines Individuums im Feld der Energie... beeinflusst.",""
496,169,"Indem biosphärische Werte aktiviert werden, stärkt der HER den Fokus der Konsumenten auf den Schutz der Umwelt.",""
497,275,"Der erste Teil dieser Arbeit fasst die Resultate einer statistischen Analyse zusammen, welche durchgeführt wurde, um di Definition von energieschwachen und energiestarken Konsumern zu verstehen (da eine europäische Definition nicht existiert).",""
498,245,"Zum Beispiel deutet die Forschung darauf hin, dass Menschen, welchen gesagt wird, wie ihr Vehalten sich unterscheidet von demjenigen von anderen, ähnlichen Personen, bezüglich Energie Konsum, Wasserverbrauch, ihren Beiträgen für gemeinnützige Oganisationen und bezüglich ihren Sparmassnahmen, motiviert werden, ihr Verhalten diesbezüglich zu verändern.",""
499,286,"Damit zielt das Projekt (",""
500,505,"Die Europäische Kommission (EK) unternimmt grosse Anstrengungen, um dieses Problem zu lösen, was beispielsweise demonstriert wird durch die kürzliche Gründung des EU Energy Poverty Observatory im Januar 2018.",""
501,140,"Ein zweiter Mechanismus ist also vielleicht, dass die im HER gelieferten Informationen die umweltbezogene Selbst-Identität erh",""
502,307,"Diese Berater wurden extra für die Einsetzung der Pilotmassnahmen ausgebildet. Diese Massnahmen umfassen Beratung energieknapper Konsumenten bezüglich der Optimierung und allfälliger Reduktion ihres Energieverbrauchs. Dies geschieht hauptsächlich durch Verhaltensänderungen.",""
503,227,"Eine andere, wichtige Lücke in der Forschung is das verstehen von Mechanismen welche hinter den Reaktionen zu Opower's HER stehen, im Zusammenhang mit deren Energieverbrauch.",""
504,148,"HER beinhaltet verschiedene Elemente, inklusive einem statischen Nachbarsvergleich von Energieverbauchsleveln (eine deskriptive Norm), Feedback auf individuelle Handhabung (eine injunktive Norm), sowie Energiespartipps.",""
505,184,"Ein weiteres Ziel dieses Artikels ist es, die möglichen Mechanismen einzuschätzen, die den HER effektiver machen.",""
506,171,"Ein weiteres Ziel dieser Studie ist, mögliche Mechanismen zu untersuchen, die HER effizenter gestalten.",""
507,404,"Darüber hinaus führen die Unterschiede in den jeweis in den EU-Staaten verfügbaren Daten zu bruchstückhaften und oft inkompatiblen Verbrauchersegmentationen in den Mitgliedsstaaten.",""
508,46,"Der HER beinhaltet verschiedene Elemente, von einem statischen Vergleich zwischen Nachbarn in Hinblick auf deren Energienutzung (deskriptive Norm), über Feedbacks, wie gut die einzelnen Personen abschneiden (injunktive Norm), bis hin zu Tipps zum Energiesparen.",""
509,19,"Ein weiteres Ziel dieses Artikels ist es potentielle Lösungsansätze zu bewerten",""
510,85,"Ein zweites Ziel dieser Arbeit ist das Testen von möglichen Menchanismen, um den HER wirksam zu machen.",""
511,75,"Die Forschung belegt, dass Menschen ihren Energie- und Wasserverbrauch, ihre Spenden für wohltätige Zwecke und ihre Sparmassnahmen anpassen, wenn ihnen die Verhaltensweisen von Menschen in ähnlichen Situationen vorgelegt werden.",""
512,495,"In diesem Projekt ist das Energy Consumption Research Institu verantwortlich für das technische Training der HEAs und die Plannung der Pilot Massnahmen.",""
513,146,"Ein zweiter Mechanismus könnte deshalb sein, dass Informationen, die über HER vermittelt werden, die umweltbezogene Selbstidentität von Verbrauchern stärk",""
514,205,"Der Einfluss sozialer Informationen auf das Verhalten wurde in einer Bandbreite von Situationen demonstriert",""
515,120,"Der Einfluss sozialer Informationen auf das Verhalten wurde in einer Vielzahl von Settings aufgezeigt.",""
516,6,"In dieser Studie testen wir den Effekt von sozialem Vergleich auf die Energiekonservation und ob dies auf die hohen Umweltschü",""
517,172,"Zuerst untersuchen wir, ob HER die Wahrnehmung der Auffassung der Normen im Bereich des Energeverbrauchs bei den Testpersonen beeinflusst.",""
518,246,"Der Einfluss von sozialer Information über Verhalten wurde in verschiedensten Settings aufgezeigt.",""
519,67,"In der vorliegenden Studie wird der Effekt von sozialem Vergleich in Bezug auf Energiesparen getestet und inwiefern dies auf dem Aspekt beruht, ob Tespersonen hohe Verbrauchswerte gutheissen.",""
